nome,minutos,m_min,distancia_total,distancia_intensa,n_acc,dist_acc,n_dcc,dist_dcc,n_sprints,dist_sprint
Atleta 1,99,109.3,10817,600,24,70,53,49,6,122
Atleta 2,99,116.1,11491,907,38,99,57,68,13,221
Atleta 3,99,94.0,9310,515,27,86,25,22,6,97
Atleta 4,99,99.8,9881,516,35,79,46,49,5,122
Atleta 5,99,104.6,10352,822,37,116,35,37,14,242
Atleta 6,99,101.6,10058,367,15,46,20,22,4,66
Atleta 7,99,88.6,8771,346,18,67,25,20,6,104
Atleta 8,80,116.5,9316,1155,43,136,45,49,26,374
Atleta 9,63,89.7,5654,390,15,52,20,16,8,87
Atleta 10,63,110.6,6969,317,12,42,22,15,2,34
Atleta 11,36,110.2,3968,315,7,13,11,11,2,77
Atleta 12,36,95.2,3428,303,14,53,14,16,7,139
Atleta 13,19,96.6,1836,107,7,19,11,10,1,23
