data,nome,distancia_total,distancia_intensa,dist_sprint,dist_acc,dist_dcc,semana,presenca
2024-01-22,Atleta 1,0,0,0,0,0,4,0
2024-01-22,Atleta 2,4867,93,0,40,29,4,1
2024-01-22,Atleta 3,5197,85,0,35,22,4,1
2024-01-22,Atleta 4,4811,98,0,20,21,4,1
2024-01-22,Atleta 5,4627,204,39,52,29,4,1
2024-01-22,Atleta 6,0,0,0,0,0,4,0
2024-01-22,Atleta 7,0,0,0,0,0,4,0
2024-01-22,Atleta 8,5420,143,0,32,15,4,1
2024-01-22,Atleta 9,0,0,0,0,0,4,0
2024-01-22,Atleta 10,4611,267,40,66,35,4,1
2024-01-22,Atleta 11,5394,109,0,41,21,4,1
2024-01-22,Atleta 12,4271,92,1,25,6,4,1
2024-01-22,Atleta 13,0,0,0,0,0,4,0
2024-01-22,Atleta 14,0,0,0,0,0,4,0
2024-01-22,Atleta 15,0,0,0,0,0,4,0
2024-01-22,Atleta 16,5106,172,31,78,28,4,1
2024-01-22,Atleta 17,0,0,0,0,0,4,0
2024-01-22,Atleta 18,0,0,0,0,0,4,0
2024-01-22,Atleta 19,4947,69,0,24,10,4,1
2024-01-22,Atleta 20,0,0,0,0,0,4,0
2024-01-22,Atleta 21,5156,120,0,30,8,4,1
2024-01-22,Atleta 22,4381,135,31,69,24,4,1
2024-01-22,Atleta 23,4037,36,0,26,12,4,1
2024-01-22,Atleta 24,0,0,0,0,0,4,0
2024-01-23,Atleta 1,4065,134,0,32,9,4,1
2024-01-23,Atleta 2,3583,152,7,53,19,4,1
2024-01-23,Atleta 3,4215,96,0,38,23,4,1
2024-01-23,Atleta 4,3810,76,11,31,6,4,1
2024-01-23,Atleta 5,3544,125,0,29,13,4,1
2024-01-23,Atleta 6,0,0,0,0,0,4,0
2024-01-23,Atleta 7,3938,228,37,58,23,4,1
2024-01-23,Atleta 8,4101,140,17,37,9,4,1
2024-01-23,Atleta 9,4206,284,15,86,30,4,1
2024-01-23,Atleta 10,3561,243,76,39,19,4,1
2024-01-23,Atleta 11,4072,54,0,28,7,4,1
2024-01-23,Atleta 12,4122,52,0,45,7,4,1
2024-01-23,Atleta 13,0,0,0,0,0,4,0
2024-01-23,Atleta 14,4219,187,13,39,20,4,1
2024-01-23,Atleta 15,3112,108,22,41,16,4,1
2024-01-23,Atleta 16,4162,228,35,59,32,4,1
2024-01-23,Atleta 17,3660,36,0,5,3,4,1
2024-01-23,Atleta 18,3905,179,0,64,7,4,1
2024-01-23,Atleta 19,4224,117,3,13,5,4,1
2024-01-23,Atleta 20,3872,166,24,52,10,4,1
