nome,minutos,m_min,distancia_total,distancia_intensa,n_acc,dist_acc,n_dcc,dist_dcc,dist_acc_dcc,n_sprints,dist_sprint
Atleta 1,117,100.2,11679,560,32,129,49,50,178,6,86
Atleta 2,102,107.1,10955,976,45,178,52,61,239,21,349
Atleta 3,117,92.2,10755,367,26,136,29,40,176,6,112
Atleta 4,98,108.7,10603,1261,47,271,51,91,362,17,386
Atleta 5,117,87.9,10248,586,43,153,55,49,202,6,111
Atleta 6,102,99.7,10215,601,23,207,36,195,403,7,184
Atleta 7,117,81.7,9524,415,23,165,25,62,227,3,69
Atleta 8,85,90.7,7744,415,18,85,16,16,102,3,95
Atleta 9,79,97.6,7726,838,31,158,42,55,213,17,315
Atleta 10,60,122.3,7350,495,20,149,34,45,194,4,75
Atleta 11,93,75.8,7079,424,27,77,35,36,112,0,12
Atleta 12,93,72.7,6784,326,45,138,26,34,172,6,88
Atleta 13,93,69.4,6481,301,21,84,22,24,108,2,28
Atleta 14,76,82.1,6231,207,11,24,8,9,33,4,43
Atleta 15,93,65.2,6083,195,22,69,15,12,81,1,25
Atleta 16,76,76.6,5811,195,16,50,21,18,69,1,20
Atleta 17,76,74.4,5651,325,13,36,22,27,63,2,30
Atleta 18,76,70.8,5378,217,12,44,18,18,62,4,53
Atleta 19,56,93.7,5287,408,12,40,20,16,55,7,112
Atleta 20,56,79.6,4492,526,21,84,25,25,109,11,136
Atleta 21,33,86.1,2855,151,10,40,3,4,44,2,32
Atleta 22,31,91.4,2842,217,12,43,14,13,56,3,44
Atleta 23,31,83.1,2609,2,6,14,0,0,14,0,0
Atleta 24,33,66.3,2195,194,7,43,10,11,54,2,38
Atleta 25,29,73.4,2147,0,4,8,2,1,10,0,0
Atleta 26,19,43.8,833,0,0,2,0,0,2,0,0
Atleta 27,19,41.0,780,0,0,3,2,2,5,0,0
Atleta 28,19,29.9,568,0,0,1,0,0,1,0,0
Atleta 29,19,24.8,472,0,0,0,0,0,0,0,0
